timestamp_ms,frametime_ms,fps
1757235305104,1.345,743.38
1757235305114,8.606,116.20
1757235305122,8.613,116.10
1757235305130,8.308,120.36
1757235305139,8.352,119.73
1757235305148,9.421,106.15
1757235305156,7.587,131.80
1757235305163,7.995,125.08
1757235305173,9.438,105.95
1757235305182,8.533,117.19
1757235305191,9.014,110.94
1757235305198,7.413,134.89
1757235305206,8.317,120.24
1757235305215,8.339,119.92
1757235305223,8.321,120.18
1757235305231,8.431,118.62
1757235305240,9.210,108.58
1757235305248,7.450,134.22
1757235305256,8.343,119.87
1757235305265,8.634,115.83
1757235305273,8.708,114.84
1757235305282,8.326,120.11
1757235305296,13.378,74.75
1757235305300,3.779,264.66
1757235305309,9.585,104.33
1757235305317,7.566,132.18
1757235305326,9.381,106.60
1757235305333,7.322,136.57
1757235305342,9.626,103.88
1757235305355,12.362,80.90
1757235305357,2.461,406.39
1757235305368,10.235,97.70
1757235305375,7.126,140.33
1757235305383,7.975,125.40
1757235305392,9.562,104.58
1757235305399,6.913,144.65
1757235305408,8.776,113.95
1757235305416,8.074,123.85
1757235305424,8.407,118.95
1757235305433,8.464,118.15
1757235305442,9.373,106.69
1757235305449,7.408,134.99
1757235305459,8.293,120.58
1757235305467,8.994,111.19
1757235305475,7.813,128.00
1757235305484,8.586,116.47
1757235305493,9.041,110.61
1757235305500,7.558,132.32
1757235305508,8.148,122.72
1757235305517,8.392,119.16
1757235305525,8.479,117.95
1757235305534,8.219,121.66
1757235305543,9.150,109.30
1757235305550,7.869,127.09
1757235305559,8.551,116.95
1757235305567,7.681,130.20
1757235305574,8.139,122.87
1757235305582,8.311,120.32
1757235305593,9.478,105.51
1757235305600,7.240,138.13
1757235305608,8.227,121.56
1757235305617,9.273,107.84
1757235305626,8.910,112.24
1757235305635,8.353,119.71
1757235305643,9.323,107.27
1757235305651,7.377,135.56
1757235305660,8.301,120.47
1757235305668,8.329,120.07
1757235305676,8.317,120.23
1757235305685,8.358,119.64
1757235305694,9.177,108.96
1757235305701,7.515,133.07
1757235305710,8.995,111.17
1757235305718,8.748,114.31
1757235305727,8.289,120.64
1757235305736,8.585,116.48
1757235305745,9.211,108.56
1757235305753,7.470,133.87
1757235305761,8.559,116.84
1757235305769,8.720,114.68
1757235305778,8.316,120.24
1757235305786,8.361,119.61
1757235305795,9.228,108.37
1757235305803,7.533,132.75
1757235305812,8.379,119.35
1757235305820,8.167,122.45
1757235305828,8.394,119.14
1757235305837,8.949,111.74
1757235305846,9.109,109.78
1757235305854,7.518,133.02
1757235305861,8.419,118.78
1757235305871,8.339,119.92
1757235305879,8.235,121.43
1757235305887,8.362,119.59
1757235305896,9.813,101.91
1757235305904,7.437,134.47
1757235305913,8.264,121.01
1757235305920,8.309,120.35
1757235305929,8.454,118.29
1757235305937,8.237,121.41
1757235305947,9.533,104.89
1757235305956,9.046,110.55
