timestamp_ms,frametime_ms,fps
1757230057599,8.391,119.18
1757230057607,8.307,120.38
1757230057616,9.110,109.77
1757230057624,7.482,133.65
1757230057633,9.039,110.63
1757230057641,8.197,121.99
1757230057649,8.267,120.96
1757230057658,8.363,119.58
1757230057667,9.047,110.54
1757230057674,7.704,129.80
1757230057683,8.233,121.47
1757230057691,9.199,108.71
1757230057700,8.204,121.89
1757230057708,8.504,117.60
1757230057718,9.186,108.86
1757230057725,7.546,132.52
1757230057733,8.287,120.68
1757230057742,8.677,115.24
1757230057750,8.625,115.94
1757230057759,8.246,121.27
1757230057768,9.056,110.43
1757230057776,7.645,130.81
1757230057784,8.313,120.29
1757230057792,8.450,118.34
1757230057802,9.089,110.03
1757230057809,7.857,127.28
1757230057818,9.198,108.72
1757230057826,7.515,133.07
1757230057834,8.301,120.47
1757230057843,8.351,119.75
1757230057851,8.487,117.83
1757230057859,8.491,117.77
1757230057868,9.072,110.23
1757230057877,7.805,128.12
1757230057885,8.284,120.72
1757230057893,8.278,120.80
1757230057902,9.224,108.41
1757230057911,8.391,119.18
1757230057920,9.051,110.49
1757230057927,7.575,132.01
1757230057935,8.302,120.45
1757230057944,8.398,119.08
1757230057952,8.776,113.94
1757230057961,8.396,119.11
1757230057969,9.113,109.74
1757230057978,7.534,132.73
1757230057986,8.470,118.06
1757230057995,8.341,119.89
1757230058003,8.273,120.88
1757230058012,8.601,116.27
1757230058021,9.062,110.35
1757230058029,8.221,121.64
1757230058037,7.721,129.52
1757230058045,8.363,119.57
1757230058053,8.341,119.88
1757230058062,8.641,115.72
1757230058071,9.025,110.80
1757230058078,7.614,131.34
1757230058087,8.249,121.23
1757230058095,8.666,115.40
1757230058104,8.197,122.00
1757230058112,8.364,119.56
1757230058122,9.280,107.76
1757230058129,7.624,131.16
1757230058138,8.642,115.72
1757230058146,8.328,120.08
1757230058155,8.597,116.32
1757230058163,8.207,121.85
1757230058172,9.449,105.83
1757230058180,8.021,124.67
1757230058188,7.989,125.17
1757230058196,8.098,123.49
1757230058205,8.327,120.10
1757230058213,8.380,119.34
1757230058222,9.704,103.05
1757230058230,7.810,128.05
1757230058239,8.948,111.76
1757230058248,9.101,109.87
1757230058257,8.315,120.26
1757230058266,9.431,106.03
1757230058274,7.602,131.55
1757230058282,8.550,116.95
1757230058292,9.073,110.22
1757230058299,8.299,120.49
1757230058308,8.735,114.48
1757230058317,9.168,109.07
1757230058325,7.772,128.66
1757230058334,8.285,120.70
1757230058343,8.630,115.88
1757230058351,8.908,112.26
1757230058359,8.326,120.11
1757230058369,9.307,107.44
1757230058377,7.468,133.91
1757230058385,8.841,113.11
1757230058394,8.226,121.56
1757230058401,8.342,119.88
1757230058410,8.386,119.25
1757230058420,9.851,101.51
1757230058428,8.400,119.05
1757230058437,8.835,113.19
1757230058446,8.340,119.91
1757230058453,8.334,119.99
1757230058462,8.366,119.53
1757230058471,9.203,108.66
1757230058479,8.647,115.64
1757230058488,8.061,124.06
1757230058496,8.407,118.95
1757230058506,9.302,107.50
1757230058514,8.014,124.78
1757230058523,9.225,108.40
1757230058532,8.371,119.46
1757230058540,8.134,122.95
1757230058548,8.128,123.03
1757230058556,8.326,120.11
1757230058565,8.379,119.35
1757230058574,9.112,109.74
1757230058581,7.984,125.25
